NID,Source,floors_no,socio_eco,label,has_image,has_tabular,in_dataset_1,in_dataset_2,split,is_augmented,is_undersampled
Dar_dfkMC3iTdE74AHS6J4LwVv,Dar,5.0,Minority low-income zone,1935-1955,True,True,True,True,train,False,False
Dar_GZ9yiURvmuUS6HZ4S9jgh5,Dar,10.0,Approximately 50% low-income zone,post1990,True,True,True,True,test,False,True
Dar_bSjgdVYSuFGsqLEKYWQWs6,Dar,6.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,train,False,False
Dar_JQCrCDjXm8jB47oobr9AEY,Dar,6.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,train,False,False
Dar_J97oX9dZPR92RBKTY6Stmf,Dar,7.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,train,False,False
Dar_NgjSMDj5eh8VARHNMsz4vt,Dar,8.0,Approximately 50% low-income zone,post1990,True,True,True,True,train,False,False
Dar_JHbkMjyffoggnbmpn57cAF,Dar,6.0,Minority low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_dfUWMvMAeTpgTkLaH8C4FY,Dar,7.0,Minority low-income zone,1956-1971,True,True,True,True,test,False,False
Dar_m8nEUBLvKgJF9VKeQyjPLw,Dar,19.0,Minority low-income zone,post1990,True,True,True,True,val,False,False
Dar_nH4XDyxtYue58MaC5VoXDK,Dar,7.0,Minority low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_578F6WT7RvoFhysc4sW9q7,Dar,8.0,Minority low-income zone,1972-1990,True,True,True,True,train,False,False
Dar_j7JpEhNsuFtaoRdAPtTp28,Dar,7.0,Minority low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_ihshHRbazkceMXNSJWSeNL,Dar,5.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_387HAH8jw5EvUfrbZW7xbY,Dar,3.0,Minority low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_a8JgoRQXkNDBtWFfhekHA7,Dar,6.0,Minority low-income zone,1935-1955,True,True,True,True,train,False,False
Dar_XiAMVpMsaAhYdQMu7VhXeP,Dar,8.0,Approximately 50% low-income zone,post1990,True,True,True,True,train,False,False
Dar_jFiiGt3V3KFgQrKAKvu3YG,Dar,5.0,Not low-income zone,1935-1955,True,True,True,True,test,False,False
Dar_hA9THKwpLHTQCMoG2986rY,Dar,5.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,test,False,False
Dar_2TEKbwpE5ecZ2BKx9Wb4jj,Dar,6.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,test,False,True
Dar_TfNhnrwcLcNkisxwSf3Kg4,Dar,7.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_EMqFgb6Hs8AsJr2AmQ8z2D,Dar,5.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,test,False,True
Dar_hcKyFWHWdxAbs7wnRvRfkD,Dar,5.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,test,False,False
Dar_dChFidhRVfazJHJUxbdXW2,Dar,7.0,Majority low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_AjNwt5sqr52448WvmSP9LY,Dar,6.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_GEitwgQRV6hFUMEysHpgoy,Dar,5.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,test,False,False
Dar_dsTuc9qoPPghmcHySBiPbQ,Dar,8.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_NttQKAQ9ZF8qNA93iomBDX,Dar,7.0,Approximately 50% low-income zone,1972-1990,True,True,True,True,train,False,False
Dar_Z3jf9PMYofbBovDB7sgSXz,Dar,3.0,Minority low-income zone,1935-1955,True,True,True,True,train,False,False
Dar_MaN3a9paY9UmiHASSkqBRA,Dar,6.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,val,False,False
Dar_atYP2hCufNEMVFos9ouAVP,Dar,6.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,test,False,False
Dar_M2djQ2L2pp5qshugC6fvr4,Dar,6.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_B6ejJvFFfWAYJdRwdCf9wZ,Dar,6.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_VrEjk7Y2rsvkpN7bZQpSrn,Dar,5.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,test,False,True
Dar_KrYX3jwN6o93cDAVA2vB9U,Dar,6.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,test,False,False
Dar_AqRFSGgf4vxvNNvxPqG2e3,Dar,,Minority low-income zone,post1990,True,False,False,True,train,False,False
Dar_YP5TxGsDuCyEnbxBrdaizw,Dar,5.0,Minority low-income zone,1935-1955,True,True,True,True,val,False,False
Dar_a8bLpcZ3aqvUabjqFXq2dj,Dar,7.0,Minority low-income zone,1935-1955,True,True,True,True,train,False,False
Dar_YZKcfXyMA4UEK6wyZ387Px,Dar,6.0,Approximately 50% low-income zone,1956-1971,False,True,False,False,train,False,False
Dar_BPvjtrFYkvSFYMnz4TB9Pk,Dar,4.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,train,False,False
Dar_2tpLQhURaxkvhcYxMfj72T,Dar,6.0,Minority low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_L5VCwvgCoKLRfVk5PVwNYH,Dar,7.0,Minority low-income zone,1935-1955,True,True,True,True,val,False,False
Dar_4eviZzFxRMxgotzDPeh8qf,Dar,6.0,Not low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_nhWWQWGRCYDrH4HGV2TAnN,Dar,4.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_H47CjcFtFXGA45NY9w7FSd,Dar,7.0,Minority low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_nexqvLTXwNuDgXcZVBXXPZ,Dar,6.0,Minority low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_S6QjjYvyjpUXcvumuvMAPt,Dar,7.0,Minority low-income zone,1956-1971,True,True,True,True,test,False,False
Dar_Ssqx52xTdFi6bGTQJsisUz,Dar,7.0,Minority low-income zone,1956-1971,True,True,True,True,test,False,False
Dar_jbZpJZ4PUUT7KbWJpoFxPN,Dar,4.0,Majority low-income zone,1935-1955,True,True,True,True,train,False,False
Dar_Tvw2UTKBiR7Khz6wdiAfoS,Dar,5.0,Minority low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_bBTZQE7tnKcWChEPx3pp6M,Dar,7.0,Minority low-income zone,1972-1990,True,True,True,True,train,False,False
Dar_RjgqYpNaCvSPE7zqWZzRqc,Dar,8.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_mAtza5DoyQwNKVEc92aBgk,Dar,8.0,Approximately 50% low-income zone,1972-1990,True,True,True,True,train,False,False
Dar_HRDFGGpYVjjfx2SLBpcRJc,Dar,8.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_ipKeW3q5kBTmeDBRymmsH6,Dar,5.0,Minority low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_Jq4vBPLHMLj4arGgHpdU7d,Dar,4.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,train,False,False
Dar_34tTtnFxmkxQkqBpivBAgU,Dar,4.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,test,False,False
Dar_huowRP5EATrErvDkqJhMHc,Dar,7.0,Not low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_NSjyH2Yk9P9GCUNVxQkABR,Dar,8.0,Minority low-income zone,1956-1971,True,True,True,True,test,False,False
Dar_WGKqWMZQApCu7uhknyzTVU,Dar,12.0,Approximately 50% low-income zone,post1990,True,True,True,True,test,False,False
Dar_Fi6itou2i9fecmKZvKjQzw,Dar,3.0,Approximately 50% low-income zone,pre1935,True,True,True,True,test,False,False
Dar_LAT3FVdoXxFBhpH65gqDmp,Dar,15.0,Minority low-income zone,post1990,True,True,True,True,val,False,False
Dar_6tjmWvimWooe4j7q2HcC84,Dar,4.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,val,False,False
Dar_MjJFTLgLY82QbETXcWHo4m,Dar,10.0,Minority low-income zone,1972-1990,True,True,True,True,test,False,False
Dar_H5Caja3HPhhzYTyXoU6EvJ,Dar,12.0,Minority low-income zone,1972-1990,True,True,True,True,train,False,False
Dar_7LtgsCY6KncEXeyQ2icTfZ,Dar,7.0,Minority low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_MjvcFrGX7NuhuGDuurNxU9,Dar,7.0,Minority low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_3TPqbsUY6QZfu64gqDQsim,Dar,27.0,Minority low-income zone,post1990,True,True,True,True,train,False,False
Dar_MzEJmN6orjBFUTUDpGHpBF,Dar,19.0,Minority low-income zone,post1990,True,True,True,True,test,False,True
Dar_YQVkrQUNWLuxAnf9283oms,Dar,17.0,Minority low-income zone,post1990,True,True,True,True,test,False,False
Dar_a3B6TKTPGramNfKjcs3zEx,Dar,9.0,Minority low-income zone,post1990,True,True,True,True,test,False,False
Dar_Q7jL3srC67L7VnLDPzoRSS,Dar,9.0,Minority low-income zone,1972-1990,True,True,True,True,train,False,False
Dar_TN4UtPkEzaCt6q9h73tCNc,Dar,7.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_MCUbKbz7VHeZLaegRJjN2z,Dar,7.0,Not low-income zone,1956-1971,True,True,True,True,val,False,False
Dar_XVTAY6G6VmAJjSogiqosGD,Dar,3.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,val,False,False
Dar_k8UcdhjgWF6iy5hozVdELW,Dar,2.0,Approximately 50% low-income zone,1935-1955,False,True,False,False,train,False,False
Dar_LTc7MLcgJZqY5RGGcZEnQj,Dar,10.0,Not low-income zone,1972-1990,True,True,True,True,val,False,False
Dar_XKWz98zHrRqtDSBdiYL23F,Dar,7.0,Minority low-income zone,1972-1990,True,True,True,True,train,False,False
Dar_ZqvBgmrQ99spd2r6ou9RP3,Dar,13.0,Approximately 50% low-income zone,post1990,True,True,True,True,train,False,False
Dar_hf2PM6TP4BA6fpwDdhn3bC,Dar,8.0,Approximately 50% low-income zone,post1990,True,True,True,True,test,False,True
Dar_g3QbyHwWjiwhDgbm4Xx2JF,Dar,8.0,Approximately 50% low-income zone,post1990,True,True,True,True,train,False,False
Dar_T6GdEiLekXYn7r8F62uccC,Dar,4.0,Approximately 50% low-income zone,1935-1955,False,True,False,False,train,False,False
Dar_BwEeKF7W4ASyEeyuJt6rkm,Dar,5.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_6inZDM8eMFBZbCcF2c6kyY,Dar,12.0,Minority low-income zone,post1990,True,True,True,True,test,False,False
Dar_Ybi7zKzCkUoCewhWgRUpeM,Dar,5.0,Not low-income zone,pre1935,False,True,False,False,train,False,False
Dar_YhhktW4Bx5eCLdmV6kJMYd,Dar,7.0,Majority low-income zone,1956-1971,True,True,True,True,test,False,False
Dar_3tdZHbDVTgZwgCPCZ2tbHs,Dar,8.0,Approximately 50% low-income zone,post1990,True,True,True,True,test,False,True
Dar_8DfZiFpCV6jPXCmtUfqFWm,Dar,18.0,Not low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_jKQYKQtQmwC7pCS4onV3hd,Dar,3.0,Not low-income zone,pre1935,True,True,True,True,train,False,False
Dar_AS2rkKj6qye2RXTTEwsbh4,Dar,8.0,Minority low-income zone,1935-1955,True,True,True,True,test,False,True
Dar_ZDm2D8RRhxvnqEDqqm3HcC,Dar,5.0,Not low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_Vv2wjgPg5DiU2kU2syPiJr,Dar,7.0,Minority low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_KaZXX6t4nqEAZBJTMYDpC2,Dar,6.0,Not low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_PwG3sg7EEYGs6BoMecXLJr,Dar,8.0,Not low-income zone,post1990,True,True,True,True,train,False,False
Dar_3AfexNKQ3u7DLqwXxTnzZK,Dar,5.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,test,False,False
Dar_cfAsm2enSXPJciPbJ9ynH7,Dar,6.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,test,False,False
Dar_Pu6dtU4VbRmutPuajt7y7L,Dar,3.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,train,False,False
Dar_4DL4gQbwmQs2tsUNoWM8hL,Dar,10.0,Majority low-income zone,1972-1990,True,True,True,True,train,False,False
Dar_25Lrmp2xPBwpsTVxxBPvs4,Dar,5.0,Not low-income zone,1935-1955,True,True,True,True,train,False,False
Dar_6rfzJWySCezU9uSNpQkLFt,Dar,5.0,Not low-income zone,1935-1955,True,True,True,True,train,False,False
Dar_2nDBp2n6FNNqhTjFntPvar,Dar,14.0,Not low-income zone,post1990,True,True,True,True,test,False,True
Dar_PaeHm52gYPPnBPTHwJf89Y,Dar,11.0,Minority low-income zone,post1990,True,True,True,True,val,False,False
Dar_kgwnaDY6jPfK9y6A9QAta9,Dar,11.0,Minority low-income zone,post1990,True,True,True,True,val,False,False
Dar_kVUnYDuzLvqoFd3T5GNmhp,Dar,8.0,Minority low-income zone,post1990,True,True,True,True,test,False,True
Dar_ZNPDLEP4tGEKi8mwvJSHeV,Dar,12.0,Minority low-income zone,post1990,True,True,True,True,val,False,False
Dar_kjEV8rL2YSA2XLE2yrgfhG,Dar,5.0,Minority low-income zone,1935-1955,True,True,True,True,train,False,False
Dar_Fm2k8sVXKLmLKEw9b5iaym,Dar,7.0,Minority low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_MGMcXhhVi8Zs5VT3wx5oxF,Dar,17.0,Minority low-income zone,post1990,True,True,True,True,train,False,False
Dar_cUzmPLb6nCuh35xasddcPi,Dar,7.0,Approximately 50% low-income zone,post1990,True,True,True,True,test,False,True
Dar_kkwPcmW75sckWpmffyr9GR,Dar,12.0,Minority low-income zone,post1990,True,True,True,True,train,False,False
Dar_gycGRfFkc7PLeiBQibTpgX,Dar,5.0,Minority low-income zone,1935-1955,True,True,True,True,test,False,True
Dar_H74VEZasru4SxPsYfoDdXd,Dar,8.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_8Ags8sHHQGYiVKUnamBw95,Dar,8.0,Minority low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_VXYg6YjaUSCJvkwqPH9ExR,Dar,25.0,Minority low-income zone,post1990,True,True,True,True,train,False,False
Dar_5UVf9zwDzMsR9bAtmu7SSa,Dar,8.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_K6iNMpPMyyK7vbi2n5iwrj,Dar,4.0,Minority low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_UWSGZCLjmGjQx29yDoosae,Dar,8.0,Minority low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_JqLRpQj6z8qoi6rw6V2CLB,Dar,6.0,Minority low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_JiLYZMmdN8CUyfjgYKmCYx,Dar,,Minority low-income zone,1956-1971,True,False,False,True,train,False,False
Dar_NPmGnEvPwshwJVcmmhNFgj,Dar,12.0,Minority low-income zone,post1990,True,True,True,True,train,False,False
Dar_2WatkgsbPXu8YapVqyamuM,Dar,11.0,Minority low-income zone,1972-1990,True,True,True,True,train,False,False
Dar_mkBXbaqoKYuZBoUFx2zVP8,Dar,13.0,Minority low-income zone,post1990,True,True,True,True,val,False,False
Dar_bqu6BYqBR6bU3Bxo3sVK8B,Dar,6.0,Minority low-income zone,1972-1990,True,True,True,True,test,False,False
Dar_GLpfyMfBs7sQBxVYrRYXGt,Dar,3.0,Minority low-income zone,1935-1955,True,True,True,True,val,False,False
Dar_KDKhT2JxUdivBetThFfdrF,Dar,11.0,Minority low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_DzB6zAo9wX6KTSJ7Rr5dCJ,Dar,5.0,Minority low-income zone,1935-1955,True,True,True,True,test,False,False
Dar_L5EGw5adD2SsFd5AwCLAef,Dar,9.0,Minority low-income zone,post1990,True,True,True,True,test,False,True
Dar_X6RXENYCBpSte7bwrpBv97,Dar,2.0,Minority low-income zone,1935-1955,False,True,False,False,val,False,False
Dar_QMZUSL7FTmPJZ7WT6u2jik,Dar,11.0,Minority low-income zone,post1990,True,True,True,True,train,False,False
Dar_cKcyK7CzvvgrswvXctfGQR,Dar,15.0,Minority low-income zone,post1990,True,True,True,True,train,False,False
Dar_giLE4ruTpNxhVJjdC4d46r,Dar,14.0,Approximately 50% low-income zone,post1990,True,True,True,True,train,False,False
Dar_7PkqVBMk5JkcMYsk9HXB6E,Dar,12.0,Minority low-income zone,post1990,True,True,True,True,val,False,False
Dar_CvtDjoVA3ByAomSr3J5pnZ,Dar,6.0,Minority low-income zone,1935-1955,True,True,True,True,train,False,False
Dar_5XScfUUjVWUwh2WcdqwQRA,Dar,6.0,Minority low-income zone,1956-1971,True,True,True,True,val,False,False
Dar_FYNpkBNsjvgkEUBxEtzzFe,Dar,12.0,Minority low-income zone,post1990,True,True,True,True,val,False,False
Dar_8oCBujaFFgFa8YNUKkPC8R,Dar,16.0,Approximately 50% low-income zone,post1990,True,True,True,True,train,False,False
Dar_KkNqNKSTtEVRwCFnd9YYH8,Dar,12.0,Minority low-income zone,post1990,True,True,True,True,train,False,False
Dar_3Kuy6wx4tS2LbLFfZ3ZodL,Dar,25.0,Minority low-income zone,post1990,True,True,True,True,test,False,False
Dar_k63jSz9x5pnzyYxE2PTCTV,Dar,6.0,Approximately 50% low-income zone,1972-1990,True,True,True,True,train,False,False
Dar_EoZPWH4KPAywUQ59vNWYGP,Dar,7.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,val,False,False
Dar_Ax76nNken4Ub5NqjPUNjR5,Dar,3.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,test,False,True
Dar_2oFpjQ9cvkGFLNCJnjDERU,Dar,7.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_nHMxSHiJKvQ8XcBRxQYPTZ,Dar,7.0,Approximately 50% low-income zone,post1990,True,True,True,True,val,False,False
Dar_5q9cDTZZUn9SkFAnPNMSUQ,Dar,8.0,Approximately 50% low-income zone,post1990,True,True,True,True,test,False,True
Dar_3stgdMWdXcDGkzKxQwv6Ay,Dar,2.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,train,False,False
Dar_EUGUbMPDn5V7i2WWrspY3n,Dar,1.0,Approximately 50% low-income zone,1935-1955,False,True,False,False,train,False,False
Dar_CSPZQQpdPZUnD9jJnEsq6u,Dar,6.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_UJy98FrMuXGJbcgBXxe8Du,Dar,3.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,train,False,False
Dar_mbBzdeJk2tpfa3s6YW6XXU,Dar,4.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,train,False,False
Dar_hFNohTqfy9LH4aUE5Un8wE,Dar,6.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_dRxchJ7N9WaxRMfFJNAJw5,Dar,3.0,Approximately 50% low-income zone,post1990,True,True,True,True,val,False,False
Dar_e2aLoHuPRR4AdspNbcukvr,Dar,5.0,Minority low-income zone,1972-1990,True,True,True,True,train,False,False
Dar_82wQ5ERoAWFmQenNkax3oR,Dar,3.0,Minority low-income zone,pre1935,True,True,True,True,test,False,False
Dar_8xV43iCyyCYBhmqYuegunH,Dar,3.0,Minority low-income zone,1935-1955,True,True,True,True,test,False,False
Dar_heaQcWFZrjXeL9puPYGSQM,Dar,6.0,Minority low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_BtbtJNRXhsQLfTMQbLPpWx,Dar,3.0,Minority low-income zone,1935-1955,True,True,True,True,test,False,True
Dar_TeiYHuuDeusMqZB3Uouc2K,Dar,5.0,Minority low-income zone,1956-1971,True,True,True,True,test,False,False
Dar_dgvqrtExdyBfc5xin4N3S8,Dar,3.0,Minority low-income zone,1935-1955,True,True,True,True,train,False,False
Dar_E7rYLtFUpHrnyyn3Nqhwex,Dar,12.0,Approximately 50% low-income zone,1972-1990,True,True,True,True,test,False,False
Dar_VkMKVmnJskgMAJXUwvry2d,Dar,7.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,test,False,False
Dar_QgwHy58PoVRjMGHDoZqZSs,Dar,,Minority low-income zone,1956-1971,True,False,False,True,train,False,False
Dar_ZS3PpPLUBiUvm8NEj6RJ4c,Dar,,Not low-income zone,pre1935,True,False,False,True,train,False,False
Dar_LaDAfv8JAtsb9dzuhMr6q3,Dar,,Minority low-income zone,1935-1955,True,False,False,True,train,False,False
Dar_ieYzzkpiavbbwMGysmA54z,Dar,,Approximately 50% low-income zone,pre1935,True,False,False,True,train,False,False
Dar_HAUX8YfsVx6uh2z9Evxa5b,Dar,,Approximately 50% low-income zone,pre1935,True,False,False,True,train,False,False
Dar_nfH6KCn4MDwLpEiUvJqSVP,Dar,,Approximately 50% low-income zone,1972-1990,True,False,False,True,train,False,False
Dar_Mcr7W78LZJJcQLBHPFVLAE,Dar,,Approximately 50% low-income zone,post1990,True,False,False,True,train,False,False
Dar_YFUjrVdTsbNJ9f7NQfbgqE,Dar,5.0,Approximately 50% low-income zone,pre1935,False,True,False,False,val,False,False
Dar_BwNLQMHCKog7BW7wmrsCHH,Dar,7.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_X4keYyDEW3QC2SQvvtmNcw,Dar,7.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_7QCDVUa73xBCTmiFceDKdz,Dar,4.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,val,False,False
Dar_Kco56HfLgKcg6aBEpTuP4k,Dar,3.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_aWcaSeb7MvXrcvbRhQr8yC,Dar,,Approximately 50% low-income zone,1956-1971,True,False,False,True,val,False,False
Dar_e8xhpBKppZJ3u7iDAsz47U,Dar,5.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_5iptiGTsjSF32jkq43iLKn,Dar,,Approximately 50% low-income zone,1972-1990,True,False,False,True,train,False,False
Dar_4noqvKWGnHbn7baTA4HC6j,Dar,,Approximately 50% low-income zone,1956-1971,True,False,False,True,train,False,False
Dar_PWZBnQDVnBwNTieVXZszmS,Dar,9.0,Majority low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_CcbS2UF9nwsgnaWyEMEdDg,Dar,9.0,Majority low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_ayosNrU4jNEv7SHqULEQgz,Dar,8.0,Approximately 50% low-income zone,1972-1990,True,True,True,True,test,False,False
Dar_kLQ9atnB9r7d7WdpTTDEfF,Dar,6.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_CZTXm7ADnXVe9qR7sYp92s,Dar,9.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,val,False,False
Dar_XYw9SofgMk6Ddea2UXUPJm,Dar,3.0,Approximately 50% low-income zone,pre1935,True,True,True,True,train,False,False
Dar_QWMsaR8hC6jdv6dPaHKBzG,Dar,8.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_NeBAp4Qif42SYa4wvw4NmN,Dar,2.0,Approximately 50% low-income zone,pre1935,True,True,True,True,train,False,False
Dar_NdrvpbzFUurwWb5DntjUYy,Dar,11.0,Approximately 50% low-income zone,1972-1990,True,True,True,True,train,False,False
Dar_aQdYSh7vTiybGztzy36qMH,Dar,,Approximately 50% low-income zone,1956-1971,True,False,False,True,train,False,False
Dar_jua5YadMviaxzWiwdVUKBc,Dar,8.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_EKBZv2TCfLcVbcoibsxtp5,Dar,11.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,test,False,False
Dar_2hGobmm82PNq4qUeNNkY32,Dar,10.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_o4EzHZ6x4d374JGonSDboc,Dar,10.0,Approximately 50% low-income zone,post1990,True,True,True,True,train,False,False
Dar_jvVapTM8t6fszC6Y9bXXUY,Dar,3.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,train,False,False
Dar_2htkZ4Vv8ETmhTRae3Rwc5,Dar,9.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_6HFBTxqgZBRgHW3cRomXUp,Dar,11.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_RSvJsWLKC9UTrcsNoL4kgP,Dar,8.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_UAUTEvJKqNy3z8Q2s7WBBz,Dar,3.0,Majority low-income zone,1935-1955,True,True,True,True,train,False,False
Dar_gKboWcsAgt3zuQS9gCogER,Dar,5.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,test,False,False
Dar_YRPvBSTyWon2fbTLrvtyLe,Dar,12.0,Approximately 50% low-income zone,post1990,True,True,True,True,val,False,False
Dar_fr4pNnZSeeenAdhc8Pbm7p,Dar,7.0,Majority low-income zone,1956-1971,True,True,True,True,test,False,False
Dar_64vST9NhwZGj2Z84RVxbwC,Dar,7.0,Approximately 50% low-income zone,1972-1990,True,True,True,True,train,False,False
Dar_Wmi7koVWwh6aj6hLfUWLRU,Dar,4.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,test,False,True
Dar_GdkxqGGSiRzjEWn5V9XoUv,Dar,4.0,Approximately 50% low-income zone,1935-1955,False,True,False,False,train,False,False
Dar_WHSYt8U4TtvG2TjheBjcMa,Dar,5.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,train,False,False
Dar_DJeuNohpLZunKCAnNQxqDD,Dar,4.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,test,False,False
Dar_Ebyx7i2UudxbAeditLqJcx,Dar,5.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,test,False,False
Dar_nx2PgxCvUegpeo9zLSC9yS,Dar,5.0,Approximately 50% low-income zone,1972-1990,True,True,True,True,train,False,False
Dar_Rb2vsYH5HDUeXhBY3jaPHE,Dar,8.0,Approximately 50% low-income zone,1972-1990,True,True,True,True,train,False,False
Dar_gNfwVFypws9ivJZHT9eHrV,Dar,,Approximately 50% low-income zone,1935-1955,True,False,False,True,train,False,False
Dar_TEwKjcNx5KcG7KhiZGak6z,Dar,,Approximately 50% low-income zone,pre1935,True,False,False,True,train,False,False
Dar_YwHLnD7HYchtysJz3EUC2b,Dar,13.0,Minority low-income zone,post1990,True,True,True,True,train,False,False
Dar_bYvxgeKCgnzt8QyVZ4px6Q,Dar,9.0,Majority low-income zone,post1990,True,True,True,True,train,False,False
Dar_BYJ2TmZ8yGzSzkQKNpdWbp,Dar,6.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,test,False,False
Dar_GNVFdJ8nesBUsxVuV7paWf,Dar,,Approximately 50% low-income zone,1956-1971,True,False,False,True,train,False,False
Dar_8Gmg5K8Dpwt8RGUHKf5PtF,Dar,2.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,train,False,False
Dar_XgrsBJSSpwf6LTAd97rTFq,Dar,12.0,Minority low-income zone,post1990,True,True,True,True,train,False,False
Dar_9U2cJQNUc5kUPs6RvMS55c,Dar,7.0,Minority low-income zone,1956-1971,True,True,True,True,train,False,False
Dar_RBVQ7cw5vLrBHNANwVVQPM,Dar,4.0,Minority low-income zone,1935-1955,True,True,True,True,train,False,False
Dar_mmeJqn9r7GmX9iJh8fKeCc,Dar,,,pre1935,False,False,False,False,train,False,False
